实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
1,wY,WY,WwYY,非糯性,长粒,非糯性长粒
2,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
4,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
5,wY,WY,WwYY,非糯性,长粒,非糯性长粒
6,wY,wY,wwYY,糯性,长粒,糯性长粒
7,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
8,wy,wy,wwyy,糯性,短粒,糯性短粒
9,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
10,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
11,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
12,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
13,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
14,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
15,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
16,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
17,WY,WY,WWYY,非糯性,长粒,非糯性长粒
18,wY,wy,wwYy,糯性,长粒,糯性长粒
19,WY,wY,WwYY,非糯性,长粒,非糯性长粒
20,wy,wy,wwyy,糯性,短粒,糯性短粒
21,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
22,WY,wy,WwYy,非糯性,长粒,非糯性长粒
23,wy,wY,wwYy,糯性,长粒,糯性长粒
24,WY,wy,WwYy,非糯性,长粒,非糯性长粒
25,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
26,wY,WY,WwYY,非糯性,长粒,非糯性长粒
27,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
28,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
29,wy,WY,WwYy,非糯性,长粒,非糯性长粒
30,wy,wy,wwyy,糯性,短粒,糯性短粒
31,wY,wY,wwYY,糯性,长粒,糯性长粒
32,wy,WY,WwYy,非糯性,长粒,非糯性长粒
